
0,Jassem Gaber,https://www.fifaindex.com/player/212783/omar-gaber/fifa21/
/1,Ismaeel Mohammad,https://www.fifaindex.com/player/233218/milad-mohammadi/fifa23/
2,Khalid Muneer,https://www.fifaindex.com/player/270643/khaled-muneer/fifa23/
/3,Kevin Rodríguez,https://www.fifaindex.com/player/198710/james-rodr%C3%ADguez/fifa22/
4,Mamadou Loum N'Diaye,https://www.fifaindex.com/player/188879/alfred-ndiaye/fifa23/
/5,Hossein Hosseini,https://www.fifaindex.com/player/194350/jalal-hosseini/fifa18wc/
6,Rouzbeh Cheshmi,https://www.fifaindex.com/player/241803/roozbeh-cheshmi/fifa18wc/
7,Rodrigo De Paul,https://www.fifaindex.com/player/211110/paulo-dybala/fifa23/
/8,Sultan Al Ghanam,https://www.fifaindex.com/player/191496/ibrahim-al-moghanam/fifa13/
9,Hassan Al Tambakti,https://www.fifaindex.com/player/245751/hassan-tombakti/fifa23/
10,Abdulellah Al Malki,https://www.fifaindex.com/player/230713/abdulelah-al-malki/fifa23/
/11,Abdullah Otayf,https://www.fifaindex.com/player/210926/abdullah-ateef/fifa23/
12,Salem al Dossari,https://www.fifaindex.com/player/208957/shafi-al-dossari/fifa18/
/13,Abdulrahman Al Aboud,https://www.fifaindex.com/player/246585/gabrielle-aboudi-ongu%C3%A9n%C3%A9/fifa19/
/14,Béchir Ben Saïd,https://www.fifaindex.com/player/220621/sa%C3%AFd-benrahma/fifa23/
/15,Aymen Dahmen,https://www.fifaindex.com/player/242818/finn-dahmen/fifa23/
16,Ghailene Chaalali,https://www.fifaindex.com/player/241757/ghayl%C3%A8ne-chaalali/fifa20/
/17,Seifeddine Jaziri,https://www.fifaindex.com/player/143765/ziad-maktouf-jaziri/fifa07/
18,Taha Yassine Khenissi,https://www.fifaindex.com/player/218209/taha-khenissi/fifa18wc/
/19,José Gayà,https://www.fifaindex.com/player/211688/gay%C3%A0/fifa23/
20,Dani Carvajal,https://www.fifaindex.com/player/204963/carvajal/fifa23/
21,Álvaro Morata,https://www.fifaindex.com/player/201153/morata/fifa23/
/22,Yeremi Pino,https://www.fifaindex.com/player/226328/megan-rapinoe/fifa23/
/23,Patrick Sequeira,https://www.fifaindex.com/player/242444/jo%C3%A3o-f%C3%A9lix/fifa23/
/24,Keysher Fuller,https://www.fifaindex.com/player/116197/ricardo-fuller/fifa16/
/25,Daniel Chacón,https://www.fifaindex.com/player/205593/michael-chac%C3%B3n/fifa23/
/26,Youstin Salas,https://www.fifaindex.com/player/10961/marcelo-salas/fifa05/
27,Brandon Aguilera,https://www.fifaindex.com/player/7872/aguilera/fifa05/
/28,Douglas López,https://www.fifaindex.com/player/251854/pedri/fifa23/
/29,Roan Wilson,https://www.fifaindex.com/player/235410/youssef-en-nesyri/fifa23/
/30,Anthony Hernández,https://www.fifaindex.com/player/227190/irene-paredes/fifa23/
/31,Álvaro Zamora,https://www.fifaindex.com/player/240130/%C3%A9der-milit%C3%A3o/fifa23/
/32,Anthony Contreras,https://www.fifaindex.com/player/112594/pablo-contreras/fifa14/
/33,Abderrazak Hamed Allah,https://www.fifaindex.com/player/213761/abderrazak-hamdallah/fifa22/
34,Frank Anguissa,https://www.fifaindex.com/player/227236/andr%C3%A9-franck-zambo-anguissa/fifa23/
35,Samuel Gouet,https://www.fifaindex.com/player/241093/samuel-oum-gouet/fifa23/
/36,Souaibou Marou,https://www.fifaindex.com/player/176944/marouane-fellaini/fifa23/
37,João Palhinha,https://www.fifaindex.com/player/229391/palhinha/fifa23/
38,Abdul Nurudeen,https://www.fifaindex.com/player/239076/abdul-manaf-nurudeen/fifa23/
39,Daniel Kofi Kyereh,https://www.fifaindex.com/player/244112/daniel-kofi-kyereh/fifa23/
40,Daniel Afriyie,https://www.fifaindex.com/player/201223/afriyie-acquah/fifa22/
/41,Maxi Gómez,https://www.fifaindex.com/player/143076/alejandro-g%C3%B3mez/fifa23/
42,Son Heung min,https://www.fifaindex.com/player/200104/heung-min-son/fifa23/
